2019-08-26 02:37:05,193:FileProcessing:FindCode: UnicodeDecodeError utf-8-sig
2019-08-26 02:37:05,193:FileProcessing:FindCode: UnicodeDecodeError utf-8
2019-08-26 02:37:05,193:FileProcessing:FindCode: UnicodeDecodeError windows-1250
2019-08-26 02:37:05,193:FileProcessing:Opening the file with encoding: windows-1251
2019-08-26 02:38:01,418:FileProcessing:FindCode: UnicodeDecodeError utf-8-sig
2019-08-26 02:38:01,418:FileProcessing:FindCode: UnicodeDecodeError utf-8
2019-08-26 02:38:01,418:FileProcessing:Opening the file with encoding: windows-1250
2019-08-26 02:38:03,569:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-26 02:38:03,569:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.srt.cyr_utf8.txt_1.txt, to encoding: utf-8-sig
2019-08-26 02:38:03,569:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-26 02:38:03,584:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.srt.cyr_utf8.txt_1.txt, to encoding: utf-8-sig
2019-08-26 02:38:03,584:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-26 02:38:03,584:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.srt.cyr_utf8.txt_1.txt, to encoding: utf-8-sig
2019-08-26 02:38:03,615:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-26 02:38:03,615:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.srt.cyr_utf8.txt_1.txt, to encoding: utf-8-sig
2019-08-26 02:38:03,646:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-26 02:38:03,646:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.srt.cyr_utf8.txt_1.txt, to encoding: utf-8-sig
2019-08-26 02:38:03,646:FileProcessing:Specijalnih znakova u fajlu: [0]
2019-08-26 02:38:03,662:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-26 02:38:03,662:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.srt.cyr_utf8.txt_1.txt, to encoding: utf-8-sig
2019-08-26 02:38:03,662:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-26 02:38:03,662:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.srt.cyr_utf8.txt_1.txt, to encoding: utf-8-sig
2019-08-26 02:38:03,677:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-26 02:38:03,677:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.srt.cyr_utf8.txt_1.txt, to encoding: utf-8-sig
2019-08-26 02:38:03,677:FileProcessing:Write to file, encoding: windows-1251
2019-08-26 02:38:03,677:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.srt.srt, to encoding: windows-1251
2019-08-26 02:38:03,801:FileProcessing:Write to file, encoding: windows-1251
2019-08-26 02:38:03,801:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.srt.srt, to encoding: windows-1251
2019-08-26 02:38:03,816:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-26 02:38:03,816:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.srt.cyr_utf8.txt_1.txt, to encoding: utf-8-sig
2019-08-28 01:02:37,886:FileProcessing:Opening the file with encoding: utf-8-sig
2019-08-28 01:04:06,173:FileProcessing:Opening the file with encoding: utf-8-sig
2019-08-28 01:04:44,130:FileProcessing:Opening the file with encoding: utf-8-sig
2019-08-28 01:04:45,364:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 01:04:45,364:FileProcessing:test1.cyr_utf8.txt, to encoding: utf-8-sig
2019-08-28 01:04:45,380:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 01:04:45,380:FileProcessing:test1.cyr_utf8.txt, to encoding: utf-8-sig
2019-08-28 01:04:45,411:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 01:04:45,411:FileProcessing:test1.cyr_utf8.txt, to encoding: utf-8-sig
2019-08-28 01:04:45,427:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 01:04:45,427:FileProcessing:test1.cyr_utf8.txt, to encoding: utf-8-sig
2019-08-28 01:04:45,427:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 01:04:45,427:FileProcessing:test1.cyr_utf8.txt, to encoding: utf-8-sig
2019-08-28 01:04:45,443:FileProcessing:Specijalnih znakova u fajlu: [0]
2019-08-28 01:04:45,443:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 01:04:45,443:FileProcessing:test1.cyr_utf8.txt, to encoding: utf-8-sig
2019-08-28 01:04:45,443:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 01:04:45,443:FileProcessing:test1.cyr_utf8.txt, to encoding: utf-8-sig
2019-08-28 01:04:45,443:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 01:04:45,443:FileProcessing:test1.cyr_utf8.txt, to encoding: utf-8-sig
2019-08-28 01:04:45,458:FileProcessing:Write to file, encoding: windows-1251
2019-08-28 01:04:45,458:FileProcessing:test1.srt, to encoding: windows-1251
2019-08-28 01:04:45,458:FileProcessing:Write to file, encoding: windows-1251
2019-08-28 01:04:45,458:FileProcessing:test1.srt, to encoding: windows-1251
2019-08-28 01:04:45,474:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 01:04:45,474:FileProcessing:test1.cyr_utf8.txt, to encoding: utf-8-sig
2019-08-28 01:05:13,225:FileProcessing:Opening the file with encoding: utf-8-sig
2019-08-28 01:05:14,458:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 01:05:14,458:FileProcessing:test1.cyr_utf8.txt_0.txt, to encoding: utf-8-sig
2019-08-28 01:05:14,458:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 01:05:14,458:FileProcessing:test1.cyr_utf8.txt_0.txt, to encoding: utf-8-sig
2019-08-28 01:05:14,458:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 01:05:14,474:FileProcessing:test1.cyr_utf8.txt_0.txt, to encoding: utf-8-sig
2019-08-28 01:05:14,489:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 01:05:14,489:FileProcessing:test1.cyr_utf8.txt_0.txt, to encoding: utf-8-sig
2019-08-28 01:05:14,489:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 01:05:14,489:FileProcessing:test1.cyr_utf8.txt_0.txt, to encoding: utf-8-sig
2019-08-28 01:05:14,489:FileProcessing:Specijalnih znakova u fajlu: [0]
2019-08-28 01:05:14,489:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 01:05:14,489:FileProcessing:test1.cyr_utf8.txt_0.txt, to encoding: utf-8-sig
2019-08-28 01:05:14,489:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 01:05:14,489:FileProcessing:test1.cyr_utf8.txt_0.txt, to encoding: utf-8-sig
2019-08-28 01:05:14,505:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 01:05:14,505:FileProcessing:test1.cyr_utf8.txt_0.txt, to encoding: utf-8-sig
2019-08-28 01:05:14,505:FileProcessing:Write to file, encoding: windows-1251
2019-08-28 01:05:14,505:FileProcessing:test1.srt, to encoding: windows-1251
2019-08-28 01:05:14,505:FileProcessing:Write to file, encoding: windows-1251
2019-08-28 01:05:14,505:FileProcessing:test1.srt, to encoding: windows-1251
2019-08-28 01:05:14,521:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 01:05:14,521:FileProcessing:test1.cyr_utf8.txt_0.txt, to encoding: utf-8-sig
2019-08-28 01:17:48,804:FileProcessing:Opening the file with encoding: utf-8-sig
2019-08-28 01:17:50,101:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 01:17:50,101:FileProcessing:test1.cyr_utf8.txt_1.txt, to encoding: utf-8-sig
2019-08-28 01:17:50,101:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 01:17:50,101:FileProcessing:test1.cyr_utf8.txt_1.txt, to encoding: utf-8-sig
2019-08-28 01:17:50,101:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 01:17:50,117:FileProcessing:test1.cyr_utf8.txt_1.txt, to encoding: utf-8-sig
2019-08-28 01:17:50,133:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 01:17:50,133:FileProcessing:test1.cyr_utf8.txt_1.txt, to encoding: utf-8-sig
2019-08-28 01:17:50,133:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 01:17:50,133:FileProcessing:test1.cyr_utf8.txt_1.txt, to encoding: utf-8-sig
2019-08-28 01:17:50,133:FileProcessing:Specijalnih znakova u fajlu: [0]
2019-08-28 01:17:50,133:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 01:17:50,133:FileProcessing:test1.cyr_utf8.txt_1.txt, to encoding: utf-8-sig
2019-08-28 01:17:50,148:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 01:17:50,148:FileProcessing:test1.cyr_utf8.txt_1.txt, to encoding: utf-8-sig
2019-08-28 01:17:50,148:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 01:17:50,148:FileProcessing:test1.cyr_utf8.txt_1.txt, to encoding: utf-8-sig
2019-08-28 01:17:50,148:FileProcessing:Write to file, encoding: windows-1251
2019-08-28 01:17:50,148:FileProcessing:test1.srt, to encoding: windows-1251
2019-08-28 01:17:50,164:FileProcessing:Write to file, encoding: windows-1251
2019-08-28 01:17:50,164:FileProcessing:test1.srt, to encoding: windows-1251
2019-08-28 01:17:50,164:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 01:17:50,179:FileProcessing:test1.cyr_utf8.txt_1.txt, to encoding: utf-8-sig
2019-08-28 01:18:19,412:FileProcessing:Opening the file with encoding: utf-8-sig
2019-08-28 01:18:20,832:FileProcessing:Write to file, encoding: utf-8-sig
